tweet_content,retweet_count,favourite_count,tweet_id,tweets_Id
"The Assassination of JFK, Jr.:  via","8","8","359448348559814657",0
"I added a video to a  playlist  THE INVISIBLE MACHINE - ELECTROMAGNETIC WARFARE","4","2","359452153171021827",0
"ExoVaticana: The Vatican's Astonishing Plan for the Arrival of an Alien Savior:  via","4","2","359465178980548609",0
"The Tavistock Agenda:  via","3","2","359456433831546880",0
".: Leaked Document: Military Internment Camps in US  Subscribe to this website.","44","12","359389618883407872",0
"Now that America is dropping its surveillance guard, soon Iran and the DPRK will creep up to shove the knife in.","41","9","359316150640840704",0
"I've decided to leak to Australian journalist Sam "" Birbeck, instead of , NSA are perverts.","48","19","359155847902932992",0
"GOVERNMENT DRUG GANGS","25","10","359093029681889281",0
""I DON'T LIKE IT RAW!" Former NSA director in cahoots with anti-raw dairy fascists.","37","16","358866641771184128",0
"justice for Hastings. Pray for his wife and kids","22","8","357875869575954434",0
"Westboro are a part of the same Zionist cabal that killed Hastings and Trayvon.","27","7","357875937649496065",0
"Dempsey just P-P-PWN'ing McCain: "[W]ould you agree...situations can be made worse by...military force?"","10","3","357875692895084544",0
"ALMOST got out, but Hatzolah showed up, THREW HIM BACK INTO THE FLAMES and just LAUGHED LAUGHED LAUGHED","5","0","357873761850109952",0
"H-h-h-hot SATANIST LESBIANS SMOOCHING over Phelps' (of God Hates Fags fame) mother's grave! .","14","7","357872789845315585",0
". . Who will the Illuminati have popped next?","38","10","357870479949828098",0
"we do know they send the ashes back to the family. Only problem we can't prove anything on what really happened!","3","0","357870071806300162",0
"and now nobody knows where the ashes are.... M.I.A","3","2","357869552962502656",0
"The first EMS responding on scene to Hastings were Jewish Hatzolah, to whom you HAVE TO pay taxes. Yep, the Zionists shut his ass up.","14","4","357869930269515776",0
"Michael Hastings’ Body Cremated Against Family’s Wishes ... FOR A SECOND TIME","27","5","357869304449994753",0
"that's why The Company's divorce rate is sky-high.","2","3","357757385596616704",0
"that's why The Company's divorce rate is sky-high.","2","3","357757385596616704",0
"cool girl!","2","0","357740609995423744",0
"La CIA me dijo q estas metido youporn ahorita RT  Kardashian is a false flag Mossad agent.","5","2","357741506255269888",0
"Jimmy Carter Defends Edward Snowden, Says ‘America Has No Functioning Democracy’  via","43","11","357742016194543617",0
"Destabilization of the family structure: McCarthy","13","8","357742087866818561",0
"Kardashian is a false flag Mossad agent.","48","29","357733375982841857",0
"NOW YOU GET OWNED "DA PLANE, DA PLANE"","4","5","357732903779700738",0
"US charges 'Reluctant Spy' author with leaking secrets to journalists -","8","3","357728938874773505",0
"Bynes is a white supremacist Mossad agent.","34","12","357729335207157760",0
"JoAnne Kiriakou was a Mossad officer from day one.","13","3","357728509688430593",0
"DHS =&gt;&gt;&gt;&gt;","2","0","357726115168649218",0
"READING LIST: Traitorous wife claiming CIA' s Kiriakou is some psycho, homicidal actor, to enable child kidnapping.","32","10","357726018749997057",0
"we are waiting for you in Venezuela my man!","7","8","357722771075248128",0
"Good luck with that shit. American gun owners will rise up","4","0","357723079792791553",0
"Email this to everyone at DHS.","67","24","357723616902791169",0
"Si","0","0","357722501960314881",0
"Elizabeth Warren is a false flag indigenous rights activist.  Do the right thing.","15","6","357720716570918912",0
"&lt;-- FED SCUM","0","0","357720018617769985",0
"Te apoyamos desde México. No estás solo!","5","4","357719570863235072",0
"Obama teleported to Mars.","10","3","357719768192659456",0
"Can your children fire a handgun at a man-sized target from 25 yards? If they can't by now, they are dead.","25","10","357718597231050753",0
"The U.S. government should be on its knees praying every day.  Eric Holder is a black panther.","40","16","357715322578538497",0
"Haha, is this actually you or another false flag?  Again.  Advance!","0","0","357650345880596480",0
"good luck my friend!","6","5","357710544205131778",0
"They went after Wellstone the same way they went after Morales.","8","8","357710059121295363",0
"It wouldn't have mattered even if Bush didn't do 9/11. He killed innocent Iraqi kids.","30","17","357705885650403328",0
"I saw Sen Graham's interview. bizarre, embarrassing, about as loopy as J. Biden on an average day. Craziness.","9","5","357693651125669888",0
"EXECUTIVE ORDER 11000 allows the government to mobilize civilians into work brigades under government supervision","46","19","357676058834771968",0
"Been following u via google...no 1 is free..the NSA thinks its God that has the right to every one's private life :","4","5","357579439674105856",0
